id,Moi,NDF,Starch
1,57.3000266,40.42,34.82
2,72.64610927,41.62,28.55
3,68.44653226,42.77,25.27
4,64.52088795,35.41,33.04
5,69.3,51.12,23.99
6,50.05790766,35.9,40.96
7,64.36,36.35,41.13
8,68.0882963,39.96,34
9,76.45315513,53.14,15.92
10,63.293531,37.27,32.75
11,76.81443756,48.33,30.74
12,59.07,40.24,30.5
13,65.45792948,36.02,40.43
14,69.18389286,39.21,32.41
15,57.8951049,39.7,38.1
16,66.09357716,39.28,33.5
17,67.3331546,41.22,31.33
18,70.29897196,44.77,24.84
19,66.48895377,37.97,37.72
20,60.3284492,35.3,39.06
21,69.3,51.12,23.99
22,69.16,46.41,26.65
23,66.87414501,36.82,40.4
24,73.15,51.02,22.39
25,73.49002703,45.41,9.41
26,63.71732157,37.48,40.42
27,73.61799558,46.66,9.63
28,57.02,37.67,37.84
29,66.2039529,35.72,35.11
30,76.45315513,53.14,15.92
31,65.27985415,35.51,36.95
32,61.15134719,34.87,40.59
33,66.88,45.03,29.34
34,71.42471483,50.52,20.7
35,60.69943636,38.51,35.51
36,59.59358949,31.65,40.69
37,66.63192825,37.83,30.55
38,58.03627538,35.43,38.66
39,60.0407155,38.34,34.79
40,67.61223521,33.33,42.9
41,78.34002591,44.21,17.06
42,67.66,41.3,22.35
43,62.43,41.34,35.86
44,66.81972112,48.48,11.61
45,65.24,44.08,28.68
46,67.84586957,40.17,33.05
47,74.52,55.58,19.12
48,58.05084042,35.33,37.36
49,66.22271758,40.84,32.81
50,63.83705441,36.35,38.26
51,62.17660359,34.61,39.78
52,51.97855649,39.44,36.33
53,56.10797872,47.05,22.43
54,54.74907923,42.83,31
55,66.07972518,35.34,38.41
56,64.32367253,36.78,38.1
57,71.43139214,59.83,3.77
58,56.46466667,33.72,39.08
59,69.3,51.12,23.99
60,67.02898722,53.17,14.86
61,64.82720348,40.33,31.21
62,62.00737896,34.95,37.35
63,61.02060669,44.51,18.93
64,58.73247563,39.61,27.11
65,47.6224,36.72,35.42
66,69.16,46.41,26.65
67,66.09975833,41.66,34.91
68,62.03149954,35.16,39.44
69,64.25631285,37.8,36.78
70,62.2475945,38.74,38.54
71,60.06515853,48.83,25.79
72,67.79103825,37.77,35.59
73,66.25172697,39.02,34.2
74,59.17400722,36.31,38.46
75,60.64,48.41,26.51
76,55.17924528,34.22,40.27
77,62.94,42.22,34.1
78,72.06,50.46,22.13
79,69.25387597,39.82,30.94
80,58.26,39.38,34.8
81,73.58051556,41.24,26.97
82,75.2611824,55.02,0.25
83,63.74230769,34.7,38.01
84,62.94,42.22,34.1
85,64.45009743,38.51,35.14
86,54.25597804,37.15,33.83
87,73.61799558,46.66,9.63
88,64.37210773,38.17,32.11
89,64.33107143,39.52,32.06
90,66.0959415,34.43,37.44
91,69.3,51.12,23.99
92,67.60165557,41.56,28.3
93,56.02214765,38.54,34.07
94,71.68674847,57.06,2.46
95,61.61394247,42.86,24.41
96,65.76629834,37.48,35.53
97,63.51642202,42.69,26.84
98,70.86399142,41.94,30.36
99,67.2610585,38.4,31.79
100,67.0202159,40.3,31.46
101,50.68331762,26.69,50.8
102,59.07,40.24,30.5
103,58.73247563,39.61,27.11
104,69.23642137,51.9,2.41
105,73.15,51.02,22.39
106,72.06,50.46,22.13
107,74.52,55.58,19.12
108,60.82328638,35.56,37.2
109,68.71706294,40.78,31.58
110,47.33922211,37.98,35.2
111,47.13839416,39.67,40.95
112,64.83392523,37.55,32.78
113,66.22271758,40.84,32.81
114,79.79501345,55.4,0.25
115,71.75355811,43.34,20.11
116,73.39957143,46.21,17.46
117,78.34002591,44.21,17.06
118,73.49002703,45.41,9.41
119,59.49942252,31.16,45.14
