Sample_Index,Moi,NDF,Starch
166,54.25597804,37.15,33.83
165,69.0995117,38.1,29.84
29,64.78999003,38.02,37.27
640,70.29897196261683,44.77,24.84
194,62.43996393,35.19,37.62
221,65.03013601,36.94,37.17
535,73.61799557848195,46.66,9.63
307,67.48554637,41.25,25.44
137,61.70821328000001,35.95,35.19
522,83.05967935871743,55.76,4.8
300,62.16690808,34.28,38.29
141,61.22167946,35.93,39.5
458,62.82,42.01,31.850000000000005
7,62.44286099,32.55,37.87
612,67.02021589793915,40.3,31.46
479,73.15,51.02,22.39
74,70.8825878,34.87,41.26
251,65.92564547,35.85,37.0
779,73.58051555555555,41.24,26.97
146,62.04449704,35.76,35.1
282,65.93441361,37.46,32.08
291,65.53590952,36.49,35.24
435,60.64000000000001,48.41,26.51
133,60.91482582,34.98,39.6
772,65.30669733210672,40.44,34.45
540,68.87536912751678,52.96,1.49
735,77.24931318681318,45.34,15.49
616,63.1953125,42.3,25.149999999999995
42,60.29970018,31.49,43.53
478,73.15,51.02,22.39
109,67.48176823,36.49,34.71
629,63.38966634890372,45.580000000000005,17.74
57,59.59646484,38.28,34.55
293,64.73209068,34.95,34.27
705,64.45009743135519,38.51,35.14
395,63.00744715,41.66,19.52
228,63.094634150000005,37.23,37.27
213,69.25387597,39.82,30.940000000000005
584,65.60479020979021,37.78,35.67
320,60.61339786999999,33.24,40.94
25,62.10168739000001,35.67,29.77
468,65.79,44.9,31.74
734,66.81972111553785,48.48,11.61
337,58.9888806,32.85,37.97
366,67.82663256,39.75,34.97
545,67.66,41.3,22.350000000000005
111,64.63885099,35.07,39.41
83,68.88670178,38.07,30.130000000000003
52,71.0933541,45.78,15.220000000000002
466,65.79,44.9,31.74
732,66.81972111553785,48.48,11.61
719,58.73247563352826,39.61,27.11
633,63.38966634890372,45.580000000000005,17.74
199,41.00051985,35.11,42.7
550,61.15134719014628,34.87,40.59
688,66.22271758436945,40.84,32.81
500,67.8,49.26,26.56
483,74.52,55.580000000000005,19.12
480,74.52,55.580000000000005,19.12
140,62.55907626,30.53,40.95
445,66.88,45.03,29.34
421,59.07,40.24,30.5
19,54.91264662,34.96,39.17
650,62.6903596491228,35.81,37.93
329,70.80601101,42.96,29.940000000000005
84,61.98870406000001,36.41,35.84
62,63.44113475,35.9,34.45
573,67.08636285468616,43.54,29.34
432,62.94,42.22,34.1
183,66.48895377,37.97,37.72
482,74.52,55.580000000000005,19.12
224,59.59358949,31.65,40.69
434,60.64000000000001,48.41,26.51
452,56.03,38.79,32.63
382,70.48450569,39.96,32.22
454,56.03,38.79,32.63
722,63.54687999999999,47.23,10.45
747,79.3839982030548,48.49,12.21
177,56.44044118000001,35.14,34.62
537,68.87536912751678,52.96,1.49
627,61.02060669456066,44.51,18.93
164,57.56042677,34.88,36.56
249,62.17660359,34.61,39.78
508,69.3,51.12,23.99
697,67.6016555661275,41.56,28.3
75,70.26401631,36.75,33.54
617,63.1953125,42.3,25.149999999999995
714,63.03254969749352,41.07,31.97
105,65.11036417,34.54,37.51
115,64.43819355,33.88,38.81
425,62.43,41.34,35.86
93,54.09001664,34.32,38.52
396,68.01049558,39.3,27.47
90,77.42827225,49.29999999999999,4.32
752,51.97855648535565,39.44,36.33
496,60.53,37.39,37.92
729,69.23642137096775,51.9,2.41
610,67.02021589793915,40.3,31.46
595,75.26118240146654,55.02,0.25
12,57.829287750000006,29.52,45.45
339,58.23162287,51.580000000000005,25.18
44,60.21044487,33.99,40.42
43,56.3136528,33.18,39.8
168,73.39957143,46.21,17.46
690,65.99570895522388,39.09,33.89
604,65.46744518589134,42.36,31.03
397,62.48291667,42.95000000000001,20.8
179,68.3523917,43.01,20.75
689,66.22271758436945,40.84,32.81
530,75.11131034482759,45.68,11.26
178,58.45177943,35.54,34.56
544,67.66,41.3,22.350000000000005
727,69.23642137096775,51.9,2.41
258,66.4830011,36.03,36.69
345,64.82720348,40.33,31.21
457,62.82,42.01,31.850000000000005
16,58.06280363999999,35.08,38.36
607,65.46744518589134,42.36,31.03
257,63.64100088000001,37.02,36.4
356,67.55998195,40.42,30.69
518,78.34002590673575,44.21,17.06
325,65.916589,34.34,37.86
463,73.94,51.65,21.01
709,64.45009743135519,38.51,35.14
357,62.23520468,33.61,37.34
330,59.60945289,32.17,39.8
606,65.46744518589134,42.36,31.03
10,58.82358168999999,34.78,37.98
250,67.49950884,38.28,35.32
23,66.75063348,37.86,34.04
222,62.22255794,30.860000000000003,42.65
538,68.87536912751678,52.96,1.49
677,62.75202302631578,38.85,35.68
769,58.21580041580042,42.93,29.77
440,60.88,38.29,34.49
658,60.06515852613538,48.830000000000005,25.790000000000003
204,53.08217523,36.67,37.37
238,66.0959415,34.43,37.44
94,65.76629834,37.48,35.53
681,76.17940608760208,43.78,24.24
347,47.6224,36.72,35.42
491,69.16,46.41,26.649999999999995
285,64.22400735,40.59,33.09
185,67.51041171,42.39,28.3
637,69.55271946564886,43.53,18.12
381,51.69915414,39.76,36.36
154,66.09357716,39.28,33.5
76,70.23690165,40.49,32.19
513,66.22,48.60999999999999,25.42
278,59.37271751000001,39.25,35.41
69,64.82933333,36.04,35.82
495,60.53,37.39,37.92
189,63.03876819,33.88,40.64
272,70.21742092,35.73,35.41
237,63.21262799,34.17,36.77
89,67.02148576,36.3,33.72
668,64.56752761257434,39.43,32.35
118,67.25161738,35.78,35.04
126,66.87414501,36.82,40.4
737,77.24931318681318,45.34,15.49
290,58.03627538,35.43,38.66
239,57.67277614999999,31.22,39.83
1,60.82328638,35.56,37.2
776,73.58051555555555,41.24,26.97
369,64.59335128,38.54,33.92
744,76.4531551270815,53.14,15.919999999999998
451,56.03,38.79,32.63
279,64.33972487,45.02,29.09
777,73.58051555555555,41.24,26.97
117,61.82396171999999,33.7,38.22
229,60.3284492,35.3,39.06
635,69.55271946564886,43.53,18.12
405,65.71843066,41.5,29.600000000000005
678,62.75202302631578,38.85,35.68
275,65.82978002,42.21,29.670000000000005
319,45.68168686,30.15,50.24
542,67.66,41.3,22.350000000000005
145,65.53432777,41.88,29.910000000000004
498,60.53,37.39,37.92
679,62.75202302631578,38.85,35.68
712,63.03254969749352,41.07,31.97
576,67.08636285468616,43.54,29.34
370,64.52355511,36.77,36.74
269,55.073327670000005,38.03,35.91
558,65.91186356073212,39.43,30.380000000000003
308,71.40918256,44.26,24.66
311,59.74908742,39.4,32.03
783,74.02222605694564,53.74,16.56
47,59.522640290000005,43.77,36.49
350,68.26666667,36.78,32.99
372,63.74522106999999,33.05,40.85
514,66.22,48.60999999999999,25.42
262,57.33602,31.809999999999995,43.06
196,54.48915315000001,36.43,40.72
784,74.02222605694564,53.74,16.56
659,60.06515852613538,48.830000000000005,25.790000000000003
108,72.95925856,46.39,28.77
60,68.0882963,39.96,34.0
590,81.17973788721207,53.04999999999999,1.92
424,62.43,41.34,35.86
101,68.62587156,39.08,32.4
661,65.11665292662819,38.62,33.41
704,66.80067039106146,38.81,33.64
634,69.55271946564886,43.53,18.12
587,65.60479020979021,37.78,35.67
180,69.85006623,45.84,3.18
305,63.19348066,39.1,27.170000000000005
762,58.7271880819367,38.13,35.7
651,62.6903596491228,35.81,37.93
756,55.24551724137931,37.48,36.8
150,70.15872302,40.39,34.3
125,65.45792948,36.02,40.43
624,61.02060669456066,44.51,18.93
684,76.17940608760208,43.78,24.24
186,69.81730402,42.31,26.02
532,73.61799557848195,46.66,9.63
51,66.25172697,39.02,34.2
501,67.8,49.26,26.56
774,65.30669733210672,40.44,34.45
723,63.54687999999999,47.23,10.45
322,60.45628366,32.3,41.49
354,68.90900302,36.37,34.65
725,69.23642137096775,51.9,2.41
143,69.15138889,45.67,12.22
371,64.15967836,34.88,37.2
142,66.26643721,36.19,33.31
