,id,Moi,NDF,Starch
460,734454,79.88098933074684,52.81,6.63
131,500206,67.48021467,35.63,34.72
57,489161,59.06635551000001,35.64,38.65
181,501185,68.69853128,41.62,32.76
317,505554,75.04487,47.4,27.110000000000003
409,701101,65.24,44.08,28.68
24,485539,62.10168739000001,35.67,29.77
17,484859,67.3331546,41.21999999999999,31.330000000000002
329,520078,59.60945289,32.17,39.8
66,490187,68.54577213,40.67,30.51
210,501975,64.46812813,33.38,37.53
140,500308,61.22167946,35.93,39.5
94,491784,57.69637462000001,34.51,39.7
229,502060,64.32630126,38.61,31.809999999999995
248,502275,62.17660359,34.61,39.78
23,485526,67.50368912,37.45,32.08
209,501971,66.63192825,37.83,30.55
255,502311,54.859677420000004,30.26,43.96
481,737771,51.97855648535564,39.43999999999999,36.33
5,481681,63.66309808,43.11,30.369999999999997
116,492623,61.82396171999999,33.7,38.22
45,488527,63.83705440999999,36.35,38.26
16,484695,61.26946535,35.74,38.24
451,734001,65.46744518589134,42.36,31.030000000000005
349,542101,68.26666667,36.78,32.99
3,480932,65.41959407,39.32,32.91
417,701109,56.03,38.79,32.63
173,500884,51.49701438999999,34.02,41.6
60,489170,61.22782329,35.24,35.79
110,492495,64.63885099,35.07,39.41
312,504271,47.37869742,39.38,35.67
465,734655,58.57606498194946,41.57,30.06
29,486328,67.37451786,34.27,36.06
444,731845,67.08636285468616,43.54,29.34
180,501175,67.99567901,47.44,16.3
26,485944,65.08717949,39.51,30.55
7,483088,64.25631285,37.8,36.78
459,734453,71.68674846625767,57.06000000000001,2.46
108,492490,67.48176823,36.49,34.71
37,488406,47.77003567,38.17,35.73
157,500576,63.364404969999995,38.59,29.829999999999995
455,734007,61.02060669456066,44.51,18.93
118,492631,63.53533014,33.63,36.87
114,492562,64.43819355,33.88,38.81
176,501137,56.44044118000001,35.14,34.62
397,548505,60.79737778,32.03,39.71
144,500408,65.53432777,41.88,29.910000000000004
361,544073,64.22805139,41.1,32.11
371,544347,63.74522106999999,33.05,40.85
228,502059,60.3284492,35.3,39.06
265,502650,70.53871245,43.18,37.99
204,501874,67.38434783,35.61,37.06
486,737853,73.58051555555555,41.24,26.97
141,500309,66.26643721,36.19,33.31
357,544042,62.54014733,35.21,39.36
67,490199,50.89448905,42.78,37.38
334,523889,61.67689366,36.04,33.52
168,500819,65.84390883,33.94,41.08
367,544325,65.09044068,35.46,38.08
425,701117,69.16,46.41,26.65
393,548495,61.61394247,42.86,24.41
109,492491,68.00982609,38.15,32.61
453,734005,63.1953125,42.3,25.15
145,500411,62.044497039999996,35.76,35.1
384,544519,62.71267606,34.14,37.18
152,500537,64.33107143,39.52,32.06
340,539163,76.92990395,50.61,8.73
400,548510,71.75355811,43.34,20.11
83,491111,61.98870406000001,36.41,35.84
238,502081,57.67277614999999,31.22,39.83
165,500812,54.25597804,37.15,33.83
247,502274,64.11760784,33.78,39.42
354,542417,69.96568793,37.37,32.07
74,490679,70.26401631,36.75,33.54
302,504117,66.62833665,37.29,33.62
405,555620,67.1776616,44.36,32.09
